Codigo,Nombre,Precio,Inventario,Descripcion,SinIVA,ConIVA,Venta,Final
8436607940548,SAMOA,$10.000,2,SAMOA,$5.876,$7.000,$10.000,
3558380055167,TIMESTORIESTRANSPARENTSET,$10.000,2,TIME STORIES EXP. TRANSPARENT SET,,$0,$10.000,
8436589627604,WINTER,$10.000,2,WINTER,$5.429,$6.500,$10.000,
5025822234612,BRAINBOXMASCOTAS,$15.000,2,,,,$15.000,
196214124073,POKTEAMROCKETMEWTWOBOXENG,$27.000,2,,,,$27.000,
8005125399765,PZZL1000MUSEOVIRGENCOMPACT,$20.000,2,,,,$20.000,
824968720820,AVTALTRENVUELTAALMUNDO,$80.000,1,AVENTUREROS AL TREN VUELTA AL MUNDO,$47.058,$56.000,$80.000,
8435407630468,PANDEMICLEGACYTEMP0,$80.000,1,PANDEMIC LEGACY TEMP. 0,,$0,$80.000,
8436589623163,CHURCHILL,$75.000,1,CHURCHILL,$44.111,$52.500,$75.000,
3558380122272,UNLOCKMINIBIRMINGHAM,$7.000,1,UNLOCK! MINIAVENTURAS ASESINATO EN BIRMINGHAM,$4.112,$4.893,$7.000,
3558380122289,UNLOCKMINISCHRODINGER,$7.000,1,UNLOCK! MINIAVENTURAS EL GATO DE SCHRODINGER,$4.112,$4.893,$7.000,
8436607943570,PLANTANUBO,$60.000,1,PLANTA NUBO,$35.288,$42.000,$60.000,
